id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc
942,FEM,8ª série (ou 9º ano),Branca,"Afro-Brasileiras (Umbanda, Candomblé, etc)",NÃO TEM RENDIMENTO PESSOAL,NÃO RESPONDEU,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,25.0,0.1216216216216216,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
943,MAS,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda em parte,Concorda em parte,Concorda em parte,30.0,0.1891891891891892,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
944,MAS,Superior incompleto,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,58.0,0.5675675675675675,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
945,MAS,3ª série,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,43.0,0.3648648648648649,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
946,FEM,2ª série,Parda,"Ateu, não tem religião",ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,18.0,0.02702702702702703,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
947,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda totalmente,Concorda totalmente,67.0,0.6891891891891893,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
948,FEM,3ª série,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,PERIFERIA,DE 100.001 A 500.000,"Fazer trabalhos manuais, como bijuterias, artesanatos",Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,33.0,0.22972972972972971,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
949,FEM,5ª série (ou 6º ano),Branca,Assembléia de Deus,ATÉ 1,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,"Fazer trabalhos manuais, como bijuterias, artesanatos",Concorda em parte,Concorda totalmente,Concorda em parte,Discorda em parte,Discorda totalmente,53.0,0.5,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
950,FEM,Superior incompleto,Branca,Outras religiões,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Concorda totalmente,38.0,0.29729729729729737,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
951,FEM,1ª série,Branca,Não respondeu,NÃO RESPONDEU,NÃO RESPONDEU,SUL,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,63.0,0.6351351351351352,Não sabe/ Não respondeu
